	Po-054	Po-058	Po-094	Po-106	Po-110	Po-116	Po-118	Po-124	Po-134	Po-136	Po-144	Po-156	Po-176	Po-182	Po-186	Po-190	Po-194	Po-214	Po-218	Po-222	Po-228	Po-230	Po-232	Po-234	
Durusdinium10558	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium10561	0	1	1	0	0	0	0	0	9	2	6	16	10	6	8	0	0	11	0	0	4	16	0	15	
Durusdinium10562	0	0	2	0	0	0	0	0	6	0	6	2	8	4	4	0	0	8	0	0	1	3	1	6	
Durusdinium10568	0	0	5	1	0	0	0	0	10	0	8	5	7	8	23	0	0	13	0	0	11	20	3	14	
Durusdinium1057	11	10	35	36	0	0	0	0	61	0	47	105	50	55	47	0	0	86	17	0	29	47	6	80	
Durusdinium10570	0	0	2	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	
Durusdinium10571	0	4	6	0	0	0	0	0	10	2	4	13	7	10	3	0	0	21	0	0	6	6	0	32	
Durusdinium10576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
Durusdinium10580	4	0	1	0	0	0	0	0	1	0	2	3	2	1	3	0	0	2	0	0	5	1	0	3	
Durusdinium10581	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium10582	0	4	5	1	0	0	0	0	0	1	3	10	10	5	0	0	0	6	19	0	0	7	0	5	
Durusdinium10583	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	1	
Durusdinium10584	1	2	12	5	0	0	0	0	11	0	11	17	9	12	14	0	0	22	0	0	1	8	2	33	
Durusdinium10586	1	0	18	14	0	0	0	0	36	4	11	27	14	15	11	0	0	17	16	0	14	18	2	29	
Durusdinium10587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	
Durusdinium10590	0	0	3	4	0	0	0	0	0	2	3	0	0	8	1	0	0	2	0	0	0	0	0	4	
Durusdinium10593	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium10595	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
Durusdinium10596	0	0	0	2	0	0	0	0	0	0	4	5	4	6	6	0	0	8	0	0	0	6	0	8	
Durusdinium10598	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	
Durusdinium10601	0	6	0	0	0	0	0	0	4	0	4	8	8	9	5	0	0	5	3	0	0	4	0	17	
