	Of-098	Of-104	Of-112	Of-114	Of-126	Of-130	Of-142	Of-150	Of-152	Of-154	Of-158	Of-162	Of-170	Of-180	Of-200	Of-202	Of-216	Of-224	Of-266	
Ofaveolata030104	8	0	4	0	13	6	1	2	1	0	0	11	7	7	0	5	0	3	16	
Ofaveolata030105	41	11	14	2	76	8	16	7	18	0	2	24	19	1	8	7	0	15	26	
Ofaveolata030106	0	1	0	0	1	7	0	1	0	0	0	1	0	8	0	1	0	0	25	
Ofaveolata030107	32	7	26	9	185	81	23	3	9	0	4	85	58	16	8	15	0	47	266	
Ofaveolata030108	3	3	6	16	1	1	7	8	0	0	0	13	4	9	0	0	0	2	24	
Ofaveolata030109	88	49	42	15	165	41	33	35	28	3	0	167	109	44	3	26	3	49	164	
Ofaveolata030112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Ofaveolata030113	2	0	0	0	3	0	0	1	0	0	0	1	0	0	0	0	0	0	0	
Ofaveolata030117	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Ofaveolata030124	23	21	4	0	29	16	8	8	0	0	2	32	19	4	2	4	1	9	56	
Ofaveolata030125	1	0	2	0	0	2	0	0	0	7	0	7	1	5	0	0	0	5	8	
Ofaveolata030126	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	
Ofaveolata030127	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ofaveolata030128	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ofaveolata030133	5	0	1	0	10	3	0	3	0	0	0	14	6	1	5	0	0	10	10	
Ofaveolata030134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Ofaveolata030135	1	0	0	0	2	5	0	0	0	0	0	3	1	0	0	0	0	2	4	
Ofaveolata030136	23	1	13	0	52	15	14	8	10	0	0	65	15	2	3	3	0	18	98	
Ofaveolata030137	5	2	4	4	18	4	2	8	1	0	0	37	10	1	0	14	0	7	46	
Ofaveolata030138	190	76	45	46	168	164	66	35	41	3	6	131	87	33	39	64	4	104	251	
Ofaveolata030139	0	0	0	0	2	0	0	0	0	0	0	0	6	0	0	0	0	0	4	
Ofaveolata030140	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Ofaveolata030141	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	
Ofaveolata030142	18	21	23	8	29	43	31	8	8	0	0	71	33	18	11	7	0	24	64	
Ofaveolata030143	252	169	109	42	316	138	151	96	39	5	21	354	222	56	39	139	3	121	454	
Ofaveolata030145	21	87	1	3	19	33	2	3	0	0	0	11	6	1	1	4	1	5	20	
Ofaveolata030147	8	11	3	0	9	19	28	0	5	0	0	17	13	1	1	0	2	4	29	
Ofaveolata030148	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	
Ofaveolata030149	93	27	20	0	92	37	12	9	12	0	2	55	33	8	0	11	1	24	135	
Ofaveolata030150	42	5	13	5	57	15	9	3	1	0	4	38	11	15	4	0	1	9	93	
Ofaveolata030151	1	0	0	0	13	2	5	3	0	0	0	14	6	1	0	0	0	6	17	
Ofaveolata030152	1	0	0	0	2	0	0	0	2	0	0	2	3	0	0	0	0	4	2	
Ofaveolata030154	2	0	0	4	7	1	0	0	1	0	0	14	8	0	0	0	0	3	15	
Ofaveolata030155	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	
Ofaveolata030156	45	36	15	0	53	27	13	3	1	0	0	80	26	12	2	26	1	9	81	
Ofaveolata030157	35	14	9	12	78	35	22	28	11	0	2	69	47	6	6	6	2	20	83	
Ofaveolata030159	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	29	
Ofaveolata030163	0	0	0	0	5	6	0	5	0	0	0	6	5	4	0	1	0	1	10	
Ofaveolata030166	12	0	0	0	2	8	1	0	0	0	1	4	5	0	0	0	0	0	5	
Ofaveolata030167	1	0	0	0	0	4	0	0	0	0	0	7	1	0	0	0	0	0	2	
Ofaveolata030168	5	0	0	0	1	4	0	0	0	0	0	4	2	3	0	0	0	3	12	
Ofaveolata030170	3	0	0	0	11	3	0	0	5	0	0	1	0	5	0	0	0	1	6	
Ofaveolata030171	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	5	
Ofaveolata030173	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Ofaveolata030174	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Ofaveolata030177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	
Ofaveolata030180	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	5	3	
Ofaveolata030181	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
Ofaveolata030182	0	0	0	0	1	0	0	0	0	0	0	3	1	0	0	0	0	0	0	
Ofaveolata030183	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Ofaveolata030184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	
Ofaveolata030186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Ofaveolata030187	0	0	1	2	2	8	0	3	0	0	0	20	7	0	1	4	1	13	10	
Ofaveolata030190	8	4	8	0	26	13	8	0	12	0	0	39	10	5	0	0	0	13	45	
Ofaveolata030193	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	
Ofaveolata030196	1	0	0	0	0	9	0	0	0	0	0	3	1	0	1	0	0	0	4	
Ofaveolata030198	1	0	14	0	2	4	0	2	6	0	0	13	12	0	0	0	0	9	8	
Ofaveolata030200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	
Ofaveolata030201	1	7	0	0	1	0	0	0	0	0	0	2	2	0	0	0	0	1	7	
Ofaveolata030202	0	0	0	0	2	0	0	0	0	0	0	1	3	0	0	0	0	0	2	
Ofaveolata030205	0	0	0	0	1	0	0	3	0	0	0	11	0	0	0	2	0	2	1	
Ofaveolata030206	1	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	1	
Ofaveolata030207	1	0	0	0	3	0	0	4	0	0	0	3	0	0	0	0	0	0	2	
Ofaveolata030208	0	0	0	0	5	2	0	2	1	8	0	5	2	1	0	0	0	1	26	
Ofaveolata030209	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
Ofaveolata030210	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	
Ofaveolata030211	20	8	15	12	19	20	4	2	0	0	5	53	25	8	2	8	0	9	90	
Ofaveolata030212	11	3	7	2	19	10	2	1	0	0	3	17	1	2	0	5	0	6	33	
Ofaveolata030213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	
Ofaveolata030214	1	0	0	0	3	0	1	2	0	0	0	1	1	0	0	1	0	1	16	
Ofaveolata030215	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ofaveolata030216	7	8	0	0	8	14	0	1	0	0	0	4	4	0	0	1	0	0	30	
Ofaveolata030217	0	0	0	0	1	0	0	1	0	0	0	3	1	0	0	0	0	2	3	
Ofaveolata030219	6	0	3	0	15	2	2	0	8	0	0	20	13	8	0	0	0	8	7	
Ofaveolata030220	2	0	2	0	5	5	8	6	0	0	0	31	16	2	0	1	0	9	4	
Ofaveolata030221	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ofaveolata030222	0	0	0	0	7	0	0	0	4	0	0	0	2	0	0	0	0	0	9	
Ofaveolata030223	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	
Ofaveolata030224	2	0	0	0	3	3	0	0	1	0	3	9	5	0	1	3	0	0	18	
Ofaveolata030226	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ofaveolata030227	1	0	0	0	0	0	0	0	1	0	0	2	3	0	0	0	0	2	2	
Ofaveolata030228	5	0	2	0	11	8	1	0	0	0	0	7	2	11	4	0	0	3	24	
Ofaveolata030229	0	0	0	0	10	0	1	0	17	0	0	6	0	0	0	0	0	2	24	
Ofaveolata030230	59	16	18	10	22	28	23	6	5	0	2	35	35	1	1	8	0	9	109	
Ofaveolata030231	25	9	7	4	26	60	26	1	9	0	0	52	36	5	3	12	1	16	73	
Ofaveolata030232	33	5	1	0	39	41	3	8	1	0	0	10	6	0	0	0	0	8	60	
Ofaveolata030233	44	7	8	6	41	21	4	3	4	1	5	39	26	8	0	6	1	24	107	
Ofaveolata030234	7	0	0	0	9	10	6	0	4	0	0	23	10	0	0	0	0	1	28	
Ofaveolata030236	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	
Ofaveolata030237	0	0	0	0	0	4	1	3	0	0	0	0	1	1	2	1	0	2	2	
Ofaveolata030238	70	19	25	3	147	63	56	29	15	1	6	177	99	39	9	39	4	43	291	
Ofaveolata030241	0	0	0	0	2	0	0	9	0	0	0	7	7	0	0	3	0	4	19	
Ofaveolata030242	8	1	2	0	4	5	0	1	0	0	0	7	4	1	3	0	0	2	20	
Ofaveolata030243	5	0	5	0	77	12	0	51	14	1	0	126	78	16	4	24	0	62	26	
Ofaveolata030244	0	0	0	0	10	0	0	4	0	0	0	22	10	5	1	4	0	8	14	
Ofaveolata030246	6	0	1	0	45	7	0	35	3	0	0	53	9	5	8	5	0	16	45	
Ofaveolata030249	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	
Ofaveolata030250	20	10	20	1	39	24	9	13	26	0	0	134	46	7	2	47	0	45	55	
Ofaveolata030251	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Ofaveolata030252	2	0	1	0	2	0	0	0	0	0	0	0	2	6	0	0	0	0	5	
Ofaveolata030254	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	4	
Ofaveolata030255	0	0	0	0	102	0	1	39	0	0	0	10	4	0	0	0	0	0	58	
Ofaveolata030256	23	7	3	2	13	16	0	0	0	0	0	36	17	4	0	1	1	2	86	
Ofaveolata030257	32	0	10	0	26	28	1	0	0	0	0	33	13	1	0	1	0	16	60	
Ofaveolata030258	143	18	10	4	278	76	24	14	8	8	4	71	66	12	0	20	3	24	131	
Ofaveolata030259	1	1	0	0	9	0	1	0	0	0	0	8	1	0	0	0	0	3	15	
Ofaveolata030260	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	1	
Ofaveolata030261	2	0	2	0	5	1	0	0	0	0	0	6	0	0	0	4	0	2	7	
Ofaveolata030263	3	0	2	1	5	0	1	1	7	0	0	18	2	3	0	0	0	1	23	
Ofaveolata030264	7	0	3	0	6	3	0	1	1	0	0	20	3	4	1	0	0	10	14	
Ofaveolata030266	37	12	9	6	42	32	15	12	13	4	0	56	33	14	18	14	0	29	81	
Ofaveolata030267	10	0	1	0	29	2	0	1	0	0	5	15	3	0	0	1	0	1	38	
Ofaveolata030269	3	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	
Ofaveolata030270	8	4	7	13	13	5	3	8	8	0	0	42	15	0	0	8	0	16	63	
Ofaveolata030271	8	0	3	1	5	5	1	1	0	0	0	10	4	0	0	9	0	4	37	
Ofaveolata030272	7	3	0	0	20	0	2	3	0	0	0	5	6	0	0	0	0	2	16	
Ofaveolata030273	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	4	
Ofaveolata030274	54	4	19	1	79	30	9	2	2	0	1	63	24	6	2	4	0	27	128	
Ofaveolata030275	7	2	1	0	5	14	11	13	2	0	0	28	7	4	7	4	0	2	28	
Ofaveolata030276	14	0	5	0	19	13	4	0	0	0	0	32	10	4	0	10	2	7	31	
Ofaveolata030277	112	45	42	22	151	112	41	46	15	2	7	167	82	18	22	24	2	43	341	
Ofaveolata030278	4	1	27	11	26	39	14	8	7	1	3	70	60	22	0	20	0	31	49	
Ofaveolata030279	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	
Ofaveolata030282	22	0	6	0	26	17	9	9	0	0	0	43	15	1	1	8	1	14	99	
Ofaveolata030283	3	0	0	0	8	6	1	1	0	0	0	9	5	0	0	0	0	3	5	
Ofaveolata030284	5	0	1	0	5	0	0	0	0	0	0	0	4	0	0	0	0	0	7	
Ofaveolata030285	2340	889	841	298	1835	2029	975	625	258	122	114	2138	1539	605	201	757	87	967	4152	
Ofaveolata030286	17	3	2	2	20	11	4	4	0	0	2	35	26	7	1	4	0	13	42	
Ofaveolata030290	53	13	16	5	50	19	9	11	3	0	1	71	26	2	11	20	1	15	77	
Ofaveolata030291	238	201	84	69	356	238	184	37	59	13	15	337	177	98	48	88	12	147	435	
Ofaveolata030292	5	0	1	0	22	0	0	8	2	0	0	7	1	0	0	0	0	0	44	
Ofaveolata030293	28	31	9	0	87	27	5	8	2	0	0	47	27	3	17	15	1	16	30	
Ofaveolata030294	2	0	1	0	3	1	0	2	0	0	0	1	0	0	0	0	0	4	0	
Ofaveolata030297	23	6	4	0	33	12	5	3	0	0	0	20	11	1	6	6	0	2	42	
Ofaveolata030298	9	1	2	4	6	9	0	0	0	0	0	15	4	0	8	2	0	1	28	
Ofaveolata030299	27	25	6	15	39	18	6	9	8	0	0	30	16	5	5	4	0	6	51	
Ofaveolata030300	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	
Ofaveolata030301	39	12	6	0	60	13	14	6	0	0	0	55	18	0	6	7	0	12	45	
Ofaveolata030302	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	
Ofaveolata030303	0	0	0	0	1	1	1	1	0	0	0	3	1	0	0	0	0	2	2	
Ofaveolata030304	97	29	68	5	138	94	75	41	41	3	1	267	174	46	5	80	5	81	386	
Ofaveolata030306	4	0	3	15	4	6	6	2	1	1	0	11	9	0	0	4	0	7	14	
Ofaveolata030307	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ofaveolata030308	7	1	9	0	11	0	2	0	0	0	1	13	3	0	0	0	0	2	26	
Ofaveolata030309	20	2	2	3	22	15	8	1	1	0	0	31	21	1	0	11	4	12	42	
Ofaveolata030310	37	10	14	2	17	28	23	4	9	0	0	31	24	12	2	12	1	12	30	
Ofaveolata030311	3	10	0	0	2	5	0	0	0	0	0	6	0	0	0	0	0	3	18	
Ofaveolata030312	0	0	0	0	1	0	0	3	0	0	0	1	0	0	0	0	0	0	2	
Ofaveolata030313	20	17	6	2	35	15	5	3	0	0	0	50	19	24	12	14	1	12	51	
Ofaveolata030314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	
Ofaveolata030315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Ofaveolata030316	0	0	0	0	20	0	0	2	0	0	0	0	0	0	0	0	0	0	11	
Ofaveolata030317	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Ofaveolata030318	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	
Ofaveolata030320	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	
Ofaveolata030321	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ofaveolata030322	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Ofaveolata030323	77	30	2	3	35	11	2	2	0	0	0	9	7	0	0	24	3	4	53	
Ofaveolata030324	3	0	3	0	4	5	1	0	0	0	0	5	1	6	1	1	0	2	13	
Ofaveolata030325	41	11	11	0	58	27	11	12	1	0	9	73	41	9	0	7	3	22	66	
Ofaveolata030326	20	31	8	6	32	20	24	3	2	0	8	14	15	0	9	1	2	20	38	
Ofaveolata030327	40	5	21	13	85	56	32	14	10	5	8	126	45	12	6	15	4	50	195	
Ofaveolata030328	15	1	5	5	40	7	6	6	0	2	0	29	10	0	8	2	0	16	25	
Ofaveolata030332	1	0	0	0	1	0	0	1	0	0	0	2	4	0	0	0	0	0	5	
Ofaveolata030333	1	0	0	0	7	10	3	0	0	0	7	3	4	3	0	0	0	0	11	
Ofaveolata030334	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	8	
Ofaveolata030335	0	1	0	0	5	4	0	0	0	0	0	5	1	0	0	0	0	3	3	
Ofaveolata030336	0	9	0	0	1	0	0	0	0	0	0	8	0	0	0	0	0	0	2	
Ofaveolata030337	32	25	18	9	31	33	14	8	16	7	1	45	33	40	5	29	5	15	86	
Ofaveolata030338	0	0	0	0	3	0	0	0	0	0	0	1	1	0	0	0	0	0	4	
Ofaveolata030340	8	0	4	6	8	5	5	0	0	0	0	8	1	0	0	0	0	4	10	
Ofaveolata030341	40	10	6	0	167	20	11	5	2	0	2	15	13	5	18	5	0	2	23	
Ofaveolata030342	1	0	2	0	1	0	0	2	0	0	0	2	3	0	0	0	0	0	0	
Ofaveolata030343	5	1	0	0	4	3	0	0	0	0	0	7	3	0	0	0	0	4	6	
Ofaveolata030344	39	11	12	1	51	30	20	3	4	0	0	63	26	3	33	29	4	14	106	
Ofaveolata030345	17	1	3	2	13	12	6	2	5	0	0	36	9	0	1	1	0	9	29	
Ofaveolata030346	81	33	26	42	141	44	36	33	16	3	2	134	52	9	25	45	0	24	111	
Ofaveolata030347	122	45	160	12	190	183	97	28	65	4	21	267	165	82	43	180	11	88	345	
Ofaveolata030348	3	1	1	0	6	5	0	0	1	0	4	9	11	0	1	3	0	0	7	
Ofaveolata030349	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	
Ofaveolata030350	9	6	1	0	10	2	4	0	2	0	0	21	13	5	0	1	0	10	22	
Ofaveolata030351	24	0	1	5	15	23	5	0	0	0	0	20	17	0	0	8	0	6	49	
Ofaveolata030352	0	0	0	0	4	2	0	0	0	0	0	5	1	0	0	0	0	3	6	
Ofaveolata030353	73	13	18	0	57	79	27	32	9	2	3	82	38	8	3	18	1	45	87	
Ofaveolata030354	1	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	1	2	
Ofaveolata030355	4	0	0	0	6	6	0	0	4	0	0	8	1	0	0	5	0	1	13	
Ofaveolata030356	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	
Ofaveolata030357	9	5	0	7	18	7	10	1	0	0	1	24	20	3	0	0	0	15	17	
Ofaveolata030358	3	0	3	0	16	4	4	5	1	0	0	14	10	4	0	1	0	5	30	
Ofaveolata030359	3	0	0	3	10	7	1	0	0	0	9	13	6	0	0	13	0	7	25	
Ofaveolata030360	34	10	31	0	39	148	39	11	3	4	0	18	9	43	18	0	1	10	58	
Ofaveolata030361	0	0	0	0	1	6	0	0	0	0	0	1	3	0	0	0	0	1	12	
Ofaveolata030362	16	7	2	0	3	18	2	3	0	0	0	10	4	0	0	0	2	6	57	
Ofaveolata030363	4	0	0	0	0	6	0	0	0	0	0	0	0	9	0	0	0	2	17	
Ofaveolata030364	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Ofaveolata030365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	
Ofaveolata030366	0	0	4	0	1	0	0	0	0	0	0	4	0	0	0	6	0	5	5	
Ofaveolata030367	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	
Ofaveolata030368	0	0	0	0	0	2	0	0	0	0	0	1	2	1	0	0	0	1	1	
Ofaveolata030370	1611	543	473	114	1973	1600	561	322	195	20	50	1740	876	236	188	418	19	705	2106	
Ofaveolata030372	1	14	2	0	7	2	1	1	1	0	0	10	1	1	1	0	0	3	9	
Ofaveolata030373	3	0	4	0	4	0	2	6	1	0	0	13	1	0	0	0	0	3	1	
Ofaveolata030374	30	4	3	1	32	24	12	10	6	1	3	33	22	5	1	8	1	15	82	
Ofaveolata030375	102	35	68	30	217	128	45	102	81	0	6	425	234	53	12	126	2	166	134	
Ofaveolata030376	0	0	0	5	3	0	0	0	0	0	0	1	0	0	0	0	0	2	3	
Ofaveolata030377	13	0	0	0	13	1	0	1	0	0	0	23	10	0	0	1	0	7	25	
Ofaveolata030378	1	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	
Ofaveolata030379	5	0	0	0	0	9	6	3	0	0	0	32	11	0	0	5	0	4	9	
Ofaveolata030380	20	6	8	1	22	30	16	7	4	0	0	43	13	9	0	7	1	17	64	
Ofaveolata030381	1	0	0	0	1	0	0	0	1	0	0	8	1	0	0	0	0	0	3	
Ofaveolata030382	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	
Ofaveolata030383	3	5	0	0	2	1	0	0	0	0	0	9	0	1	0	0	0	9	22	
Ofaveolata030384	2	1	0	0	4	2	1	3	0	0	7	9	0	0	0	0	0	4	9	
Ofaveolata030385	4	0	4	0	2	1	0	0	0	0	0	20	6	4	0	0	0	4	13	
Ofaveolata030386	2	0	7	0	3	4	0	1	6	0	0	3	2	0	0	0	0	7	11	
Ofaveolata030390	1	0	1	0	3	4	0	1	0	0	0	12	6	0	0	5	0	1	8	
Ofaveolata030394	24	22	6	7	31	14	7	1	29	0	5	51	25	11	4	2	1	16	24	
Ofaveolata030395	4	0	0	0	4	1	0	0	0	0	0	0	0	0	0	4	0	0	1	
Ofaveolata030396	0	0	0	0	1	2	0	0	0	0	0	3	1	0	0	0	0	1	10	
Ofaveolata030397	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Ofaveolata030398	19	4	37	12	28	68	32	1	18	0	0	87	51	11	3	7	2	14	116	
Ofaveolata030399	35	9	234	26	35	523	177	170	151	46	4	1214	639	235	21	297	18	410	626	
Ofaveolata030400	64	95	5	11	54	94	16	11	4	0	5	16	2	3	1	6	2	18	70	
Ofaveolata030401	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	
Ofaveolata030402	9	0	4	0	5	6	0	0	0	0	0	18	10	0	0	0	0	4	19	
Ofaveolata030403	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	
Ofaveolata030404	32	10	9	1	32	39	16	7	9	0	0	48	15	4	0	10	0	19	69	
Ofaveolata030405	14	0	7	0	21	15	5	0	0	0	0	24	10	0	0	1	0	6	45	
Ofaveolata030406	91	8	25	1	106	86	28	17	16	0	0	147	49	9	12	12	0	26	199	
Ofaveolata030407	79	18	24	8	123	99	37	7	7	1	1	133	55	37	3	30	0	38	208	
Ofaveolata030408	3	0	0	0	2	0	2	4	0	0	0	3	0	0	0	0	0	2	2	
Ofaveolata030409	2	0	2	0	10	2	0	0	0	0	0	13	7	0	0	2	0	2	11	
Ofaveolata030410	72	26	13	11	67	35	28	14	18	1	3	62	49	9	13	37	6	24	89	
Ofaveolata030411	222	387	71	24	316	251	41	75	38	11	17	304	302	121	67	89	15	107	1063	
Ofaveolata030412	8	0	2	0	22	0	0	0	1	0	0	15	2	0	0	0	0	9	15	
Ofaveolata030413	6	5	10	1	14	14	9	2	1	1	0	33	19	6	0	7	2	7	22	
Ofaveolata030414	37	1	17	0	35	26	11	7	6	1	0	65	15	5	0	14	0	30	94	
Ofaveolata030415	0	0	0	0	1	1	0	0	0	0	0	3	0	0	0	0	0	0	1	
Ofaveolata030416	4	0	0	0	3	5	0	1	0	0	0	9	1	0	0	0	0	0	4	
Ofaveolata030417	28	4	28	2	37	21	7	9	18	0	7	27	9	14	0	11	4	21	37	
Ofaveolata030418	3	0	2	0	0	0	0	0	0	0	0	4	2	0	0	0	0	1	11	
Ofaveolata030419	3	0	2	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	12	
Ofaveolata030420	27	1	12	0	22	45	14	10	10	0	0	54	10	2	6	9	3	17	94	
Ofaveolata030421	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ofaveolata030423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	
Ofaveolata030425	18	2	3	1	23	21	4	0	1	0	0	28	13	2	1	3	4	10	47	
Ofaveolata030426	14	1	4	13	49	14	11	14	0	0	6	64	27	7	0	13	0	13	73	
Ofaveolata030428	19	3	7	5	63	10	11	7	2	0	0	68	29	2	4	12	0	15	62	
Ofaveolata030429	56	16	19	1	75	17	36	4	6	0	0	89	33	12	3	61	1	29	119	
Ofaveolata030430	7	8	1	2	7	5	1	1	0	7	0	4	4	7	0	0	0	2	7	
Ofaveolata030431	3	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	4	
Ofaveolata030432	4	2	0	0	4	1	5	0	1	0	4	6	3	1	0	0	1	4	9	
Ofaveolata030433	1	0	0	0	1	0	0	0	0	0	0	8	2	0	0	0	0	2	12	
Ofaveolata030436	71	33	45	11	139	132	25	42	21	0	8	216	122	38	12	44	6	67	302	
Ofaveolata030437	55	36	6	0	99	35	18	38	0	0	0	143	35	19	0	4	0	23	181	
Ofaveolata030439	1	8	7	9	11	10	25	6	14	1	0	15	15	16	0	12	0	8	37	
Ofaveolata030440	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ofaveolata030441	136	42	28	21	190	82	23	35	3	4	4	147	96	13	49	22	0	55	188	
Ofaveolata030442	49	6	52	19	118	66	54	34	20	3	0	89	96	20	2	58	9	35	118	
Ofaveolata030444	119	82	66	52	149	145	120	33	28	12	4	117	83	35	2	41	11	65	267	
Ofaveolata030445	0	0	0	7	1	0	2	0	0	0	0	4	0	0	0	0	0	0	17	
Ofaveolata030446	6	0	8	10	8	12	18	7	3	4	2	15	14	4	4	3	4	9	21	
Ofaveolata030447	23	10	11	6	18	8	14	3	0	4	0	39	10	0	0	5	0	7	63	
Ofaveolata030448	13	6	9	3	29	10	11	8	6	0	1	45	17	7	5	4	1	5	32	
Ofaveolata030449	5	0	5	0	8	21	6	4	2	0	0	11	2	0	0	1	0	1	22	
Ofaveolata030451	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
Ofaveolata030452	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	
Ofaveolata030453	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	
Ofaveolata030454	1	0	0	0	16	8	0	1	0	0	0	63	16	1	0	0	0	21	70	
Ofaveolata030455	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	
Ofaveolata030456	13	0	7	1	39	21	6	9	7	0	0	39	23	16	0	3	0	12	62	
Ofaveolata030457	415	175	68	33	967	223	105	63	47	8	34	192	167	57	77	65	2	196	327	
Ofaveolata030458	411	397	19	95	101	496	138	19	76	15	11	51	75	31	18	56	8	42	550	
Ofaveolata030460	44	19	5	4	14	31	8	0	0	0	1	8	8	0	3	0	1	9	710	
Ofaveolata030465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Ofaveolata030466	6	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	1	0	5	
Ofaveolata030468	1	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	2	
Ofaveolata030469	9	3	4	0	2	3	1	0	0	0	0	7	0	0	0	2	0	0	3	
Ofaveolata030472	3	0	0	0	1	2	0	0	0	0	0	7	0	0	0	0	0	1	2	
Ofaveolata030473	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ofaveolata030474	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	
Ofaveolata030478	3	11	1	0	19	2	0	0	0	0	0	2	1	2	0	2	0	6	2	
Ofaveolata030479	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
