"","Of.098","Of.104","Of.112","Of.114","Of.126","Of.130","Of.142","Of.150","Of.152","Of.154","Of.158","Of.162","Of.170","Of.180","Of.200","Of.202","Of.216","Of.224","Of.266"
"Ofaveolata015591",13,12,2,5,32,4,1,4,6,0,0,23,14,1,2,1,2,9,42
"Ofaveolata015612",7,10,1,0,5,14,4,0,0,0,0,3,5,3,0,2,0,3,16
"Ofaveolata015615",3,0,4,15,1,4,11,5,0,0,0,11,9,0,0,21,0,9,20
"Ofaveolata015623",22,5,0,2,8,2,13,0,0,0,0,0,1,0,0,0,1,0,10
"Ofaveolata015634",17,1,1,5,57,10,7,5,0,0,0,12,8,4,0,1,0,2,19
"Ofaveolata015635",10,8,1,0,5,15,3,0,0,0,0,17,2,0,0,2,0,1,11
"Ofaveolata015636",14,0,7,4,43,20,12,11,6,0,0,27,19,0,0,7,0,16,50
"Ofaveolata015637",30,41,64,41,111,82,96,36,17,21,15,175,135,47,0,98,15,106,184
"Ofaveolata015638",4,2,8,3,12,23,19,10,4,0,0,77,35,11,1,30,0,23,52
"Ofaveolata015639",7,0,9,16,63,1,3,36,1,0,0,29,17,0,4,3,0,14,59
"Ofaveolata015640",1,0,3,0,17,8,4,1,0,0,0,12,10,0,0,0,0,1,24
"Ofaveolata015663",0,0,3,0,1,2,2,9,10,0,0,7,9,3,0,0,2,12,10
"Ofaveolata015664",5,0,13,1,11,1,2,4,0,0,6,21,5,0,0,10,0,10,77
"Ofaveolata015668",10,0,5,1,7,1,2,5,0,0,0,19,5,6,0,1,2,6,23
"Ofaveolata015673",8,0,2,0,24,4,4,0,0,0,0,16,7,9,2,1,0,9,26
"Ofaveolata015674",18,37,16,7,42,7,5,9,4,0,0,99,29,7,0,18,0,15,58
"Ofaveolata015675",26,16,13,18,30,19,31,16,20,0,2,61,34,9,6,21,3,17,87
"Ofaveolata015695",10,4,11,1,11,9,3,7,1,0,0,19,9,8,0,0,0,16,39
"Ofaveolata015701",19,7,2,0,57,23,15,5,17,0,0,60,25,14,0,6,0,18,127
"Ofaveolata015705",6,2,6,1,16,3,5,5,11,0,0,17,5,4,0,14,1,12,27
"Ofaveolata015708",18,5,7,0,19,25,8,5,4,0,0,94,44,4,0,21,0,20,53
"Ofaveolata015715",3,1,6,0,43,4,6,0,0,1,0,22,33,4,0,0,0,9,35
"Ofaveolata015718",167,174,39,25,80,93,49,18,30,6,11,112,56,20,11,60,3,72,118
"Ofaveolata015721",209,120,31,10,84,141,101,17,28,7,6,130,76,17,3,68,7,39,139
"Ofaveolata015725",118,65,35,4,145,100,55,15,38,14,6,202,102,48,6,49,7,64,258
"Ofaveolata015727",54,38,41,14,101,100,72,51,20,0,8,123,88,51,9,50,3,34,170
"Ofaveolata015730",0,0,2,0,6,0,2,5,0,0,0,12,6,2,0,15,0,0,15
"Ofaveolata015732",1,10,0,1,16,5,1,0,1,0,0,14,6,0,1,0,0,8,23
"Ofaveolata015747",30,2,14,0,44,12,2,8,0,6,2,55,35,26,4,14,5,23,66
"Ofaveolata015748",31,7,6,15,80,19,26,20,10,11,0,40,35,7,0,32,2,27,103
"Ofaveolata015750",11,10,28,0,209,52,17,16,19,2,3,81,67,12,2,30,9,40,71
"Ofaveolata015754",344,44,0,0,235,0,0,0,0,0,1,0,0,0,28,0,0,0,1
"Ofaveolata015759",1,0,0,0,1,3,1,2,0,0,0,12,3,0,0,7,0,14,10
"Ofaveolata015760",38,38,5,8,39,40,19,9,7,0,1,59,27,7,0,12,0,35,132
"Ofaveolata015761",149,59,48,13,251,77,43,32,14,6,28,100,90,18,72,105,0,78,99
"Ofaveolata015780",11,0,3,1,26,6,4,7,0,0,0,8,5,1,0,3,0,3,33
"Ofaveolata015795",9,0,3,0,13,5,4,2,0,0,0,31,4,0,0,4,0,2,8
"Ofaveolata015798",11,2,1,0,54,4,0,16,0,0,0,13,7,0,0,0,0,0,10
"Ofaveolata015800",10,0,1,2,8,12,0,0,0,0,0,14,6,0,0,18,0,2,6
"Ofaveolata015808",36,13,9,12,72,30,17,5,0,3,4,76,36,5,6,11,2,16,133
"Ofaveolata015810",62,2,6,0,122,19,17,0,5,0,3,40,29,1,1,6,1,9,75
"Ofaveolata015811",78,45,46,20,114,56,60,33,21,10,8,120,61,26,9,35,0,39,142
"Ofaveolata015814",26,5,15,4,74,55,35,14,1,0,0,38,39,24,0,5,4,31,50
"Ofaveolata015815",25,4,5,1,36,23,13,10,7,0,0,36,15,6,2,12,0,16,75
"Ofaveolata015816",8,0,3,0,8,3,5,3,0,0,0,11,7,8,0,15,0,2,9
"Ofaveolata015818",0,0,4,0,23,1,5,5,4,0,0,18,7,9,0,8,2,2,7
"Ofaveolata015819",15,1,8,25,69,13,5,6,2,0,0,31,19,5,1,15,0,8,46
"Ofaveolata015832",1,0,3,0,1,42,7,3,1,0,0,8,4,0,5,0,3,11,4
"Ofaveolata015833",13,0,1,7,12,13,13,3,3,0,0,34,19,1,1,6,0,11,59
"Ofaveolata015835",3,0,9,0,42,2,2,2,0,7,7,12,6,1,0,1,0,1,19
"Ofaveolata015857",91,12,91,20,171,119,40,48,26,11,10,265,160,42,31,93,6,85,368
"Ofaveolata015858",72,12,67,25,76,108,60,62,48,14,5,284,104,44,1,86,12,88,316
"Ofaveolata015861",2,0,1,0,0,4,0,1,8,0,0,15,2,0,0,0,0,0,20
"Ofaveolata015862",9,2,0,0,17,4,6,4,0,0,0,27,20,0,3,6,0,15,39
"Ofaveolata015863",8,1,7,1,14,8,1,0,0,0,0,33,4,0,0,0,0,5,30
"Ofaveolata015865",14,5,9,1,27,27,18,7,1,0,4,40,17,4,4,2,1,10,71
"Ofaveolata015866",65,11,11,1,60,34,18,35,9,0,0,104,65,9,12,15,0,31,133
"Ofaveolata015867",101,55,58,25,199,110,74,40,27,0,18,295,151,31,5,60,7,83,418
"Ofaveolata015873",183,63,27,20,466,118,31,17,15,1,19,103,72,1,11,39,0,64,265
"Ofaveolata015913",6,0,9,4,0,4,15,0,0,0,0,38,16,7,0,5,0,13,0
"Ofaveolata015914",63,34,39,3,106,75,30,28,11,1,1,202,103,33,5,55,2,35,264
"Ofaveolata015915",11,0,4,6,27,8,4,6,12,0,0,23,15,4,0,8,0,2,28
"Ofaveolata015922",7,0,3,0,37,13,3,6,3,0,0,43,30,15,3,13,0,10,51
"Ofaveolata015923",25,0,5,0,21,30,10,4,0,0,0,20,6,5,0,13,0,13,43
"Ofaveolata015926",54,15,12,10,59,39,34,3,18,1,5,56,38,7,5,39,3,13,117
"Ofaveolata015929",18,8,2,1,17,14,3,5,7,0,2,35,16,0,0,1,0,14,44
"Ofaveolata015970",5,0,1,0,6,10,13,0,0,0,0,11,4,0,0,7,0,12,34
"Ofaveolata015971",15,0,1,0,13,7,6,0,0,0,0,23,2,0,0,0,0,9,24
"Ofaveolata015977",54,33,21,12,63,56,22,5,11,1,1,97,57,19,6,33,0,37,131
"Ofaveolata015978",33,12,7,4,83,16,5,1,1,0,1,35,33,9,0,11,0,16,51
"Ofaveolata015979",33,4,11,0,28,15,3,1,0,0,1,20,9,0,13,8,1,7,31
"Ofaveolata015982",7,0,6,9,1,22,9,4,6,0,0,2,25,6,0,0,0,6,11
"Ofaveolata015992",10,0,15,39,24,17,14,20,0,2,0,30,20,17,0,47,0,19,28
"Ofaveolata015997",34,9,13,0,50,41,3,1,0,0,0,64,33,2,1,1,0,17,80
"Ofaveolata015999",30,7,7,10,39,20,27,20,32,0,2,28,17,14,0,8,0,7,29
"Ofaveolata016000",36,19,10,23,38,16,24,13,12,6,1,34,36,6,2,19,0,26,61
"Ofaveolata016001",42,40,11,0,47,82,26,8,4,1,3,60,32,3,0,18,0,21,66
"Ofaveolata016002",12,1,4,0,6,10,9,0,0,0,0,13,12,8,2,21,0,2,22
"Ofaveolata016003",53,41,13,15,121,32,12,9,8,0,0,61,24,6,0,2,1,18,103
"Ofaveolata016006",0,0,25,0,1,10,15,10,7,0,1,34,11,7,0,1,0,12,10
"Ofaveolata016009",1,0,2,0,0,13,4,0,1,0,0,31,10,4,0,4,0,13,13
"Ofaveolata016010",10,7,5,0,2,4,1,0,0,0,0,4,4,0,0,0,0,1,16
"Ofaveolata016013",56,19,14,2,54,50,21,10,7,0,0,68,21,4,12,11,0,26,104
"Ofaveolata016015",14,0,5,0,14,15,19,2,21,0,0,16,14,18,1,2,0,23,15
"Ofaveolata016016",472,298,215,101,438,416,217,122,154,20,29,791,489,146,24,231,37,270,896
"Ofaveolata016018",325,200,16,21,60,112,36,10,8,0,0,76,45,16,5,32,4,40,356
"Ofaveolata016019",9,0,0,0,1,3,1,1,0,0,0,5,12,0,2,0,0,0,29
"Ofaveolata016020",275,221,9,19,5,51,20,3,14,4,6,50,29,12,0,20,1,19,175
"Ofaveolata016021",434,144,46,28,115,142,58,39,13,10,10,289,150,54,4,58,5,75,539
"Ofaveolata016022",131,100,4,0,16,44,16,6,0,0,1,31,18,4,0,3,0,17,199
"Ofaveolata016023",8,19,0,7,23,4,1,3,1,0,0,20,12,6,0,3,0,11,29
"Ofaveolata016024",21,4,11,5,17,6,6,7,13,0,0,42,10,1,0,9,3,8,52
"Ofaveolata016025",6,0,3,0,10,4,10,1,0,5,0,23,9,7,0,0,4,9,32
"Ofaveolata016028",74,49,33,9,65,57,49,21,12,10,8,107,72,18,12,51,3,39,131
"Ofaveolata016050",5,0,7,0,11,5,5,5,0,0,0,12,8,0,0,0,0,16,27
"Ofaveolata016052",150,58,14,10,145,125,5,15,6,0,0,121,29,6,0,13,4,55,409
"Ofaveolata016054",6,0,6,7,16,10,0,0,0,0,0,9,6,0,0,2,0,12,23
"Ofaveolata016056",6,0,2,0,19,5,1,10,0,0,0,20,6,0,0,2,3,0,26
"Ofaveolata016105",156,69,44,47,153,127,90,42,24,15,21,153,90,25,21,90,10,50,284
"Ofaveolata016106",3,4,6,0,8,5,2,2,0,0,0,22,14,1,0,4,0,10,37
"Ofaveolata016109",47,26,16,2,57,36,31,6,0,0,0,74,24,15,5,19,0,22,94
"Ofaveolata016110",28,5,3,0,2,8,5,0,0,7,0,7,6,0,0,8,0,3,35
"Ofaveolata016113",6,1,7,4,9,4,9,1,0,0,0,8,17,7,0,1,0,1,23
"Ofaveolata016114",16,7,5,4,17,13,0,1,1,0,0,28,11,0,0,0,0,11,34
"Ofaveolata016115",7,0,2,0,3,4,3,0,1,0,0,10,2,10,0,3,0,3,21
"Ofaveolata016117",129,39,46,17,308,61,66,57,27,0,5,179,124,37,20,93,1,63,181
"Ofaveolata016118",15,1,3,0,7,4,0,0,0,0,0,10,1,0,0,4,0,1,11
"Ofaveolata016123",26,5,66,5,105,83,23,44,36,1,0,256,97,26,10,54,5,85,273
"Ofaveolata016127",29,5,78,18,92,85,30,70,18,1,4,111,83,32,13,54,6,83,154
"Ofaveolata016131",14,0,2,0,1,48,4,3,0,0,0,8,0,0,0,0,0,3,63
"Ofaveolata016132",162,52,20,7,98,104,35,14,7,0,0,123,43,23,22,31,3,23,172
"Ofaveolata016133",9,0,0,0,13,3,4,0,0,0,0,6,4,0,3,0,0,0,11
"Ofaveolata016134",6,0,0,0,10,8,0,7,0,0,0,6,7,0,0,9,0,4,20
"Ofaveolata016135",9,7,4,9,16,7,16,1,4,0,0,27,8,4,0,2,1,6,30
"Ofaveolata016136",12,2,7,0,14,7,3,9,7,0,0,25,19,1,0,7,0,9,44
"Ofaveolata016137",16,0,8,0,25,10,6,3,0,0,0,48,29,3,0,23,0,10,50
"Ofaveolata016139",31,4,6,0,24,24,5,2,0,0,0,23,11,0,0,9,0,12,73
"Ofaveolata016142",16,0,12,1,20,28,6,6,0,0,2,25,16,2,6,17,0,3,33
"Ofaveolata016143",33,2,4,0,58,31,14,2,11,0,0,86,28,0,1,12,0,18,94
"Ofaveolata016146",3,4,0,0,2,3,0,0,0,0,0,12,1,0,0,0,0,4,21
"Ofaveolata016149",14,4,0,0,6,10,0,0,0,0,0,4,3,0,0,9,0,4,24
"Ofaveolata016150",46,8,41,30,125,104,57,16,25,0,2,190,72,23,9,20,3,62,457
"Ofaveolata016153",10,12,0,0,22,0,5,0,0,0,0,33,10,0,0,1,0,8,37
"Ofaveolata016154",116,49,52,2,167,65,37,26,29,0,1,176,83,27,6,33,1,50,227
"Ofaveolata016155",6,0,0,0,6,4,0,0,0,0,0,13,2,0,0,7,0,1,12
"Ofaveolata016157",107,56,34,40,116,94,53,25,10,0,1,88,77,9,18,35,5,53,210
"Ofaveolata016160",11,0,2,0,9,12,3,0,0,0,0,19,8,1,0,0,0,4,12
"Ofaveolata016167",4,0,4,0,2,4,1,0,0,0,0,16,5,1,0,1,0,7,11
"Ofaveolata016169",29,1,12,0,32,27,9,4,6,0,6,88,40,16,0,7,1,39,92
"Ofaveolata016177",34,1,20,1,95,24,5,13,5,0,0,102,52,14,8,22,0,25,97
"Ofaveolata016179",40,26,48,1,90,31,33,12,15,5,2,88,42,7,0,41,1,38,98
"Ofaveolata016191",7,0,7,0,7,6,6,3,0,0,0,18,5,5,0,6,0,0,19
"Ofaveolata016197",22,17,7,5,76,42,10,12,0,4,0,119,25,10,0,6,0,41,98
"Ofaveolata016199",104,32,66,25,302,235,97,75,20,1,5,449,237,48,19,79,3,149,337
"Ofaveolata016212",18,4,8,0,19,16,17,17,5,0,2,43,13,5,5,13,0,7,75
"Ofaveolata016213",3,0,0,0,13,0,3,4,0,0,0,23,11,1,0,0,0,10,26
"Ofaveolata016214",256,174,107,42,268,309,183,65,63,21,15,387,311,84,21,162,12,197,710
"Ofaveolata016216",15,5,1,2,22,10,4,1,2,0,0,32,6,0,0,12,0,9,35
"Ofaveolata016218",6,1,4,0,4,25,0,0,0,0,0,8,6,0,0,0,0,7,16
"Ofaveolata016221",5,0,0,0,17,0,0,0,0,0,1,1,1,0,1,0,0,4,10
"Ofaveolata016222",19,0,1,0,42,20,2,6,0,0,0,20,31,0,3,2,0,9,29
"Ofaveolata016224",4,0,0,0,10,5,0,0,0,0,0,4,0,0,0,0,0,0,11
"Ofaveolata016225",42,20,4,3,71,30,35,13,2,0,2,64,26,7,1,29,0,20,113
"Ofaveolata016227",4,0,5,0,5,8,1,4,1,0,0,17,9,11,0,9,0,4,21
"Ofaveolata016231",7,1,2,1,32,6,3,4,6,0,0,38,22,1,7,5,0,16,35
"Ofaveolata016232",165,4,10,12,91,35,20,31,39,0,10,116,61,7,34,15,1,36,99
"Ofaveolata016248",2,0,3,0,25,3,1,8,3,1,0,62,12,0,0,1,0,11,27
"Ofaveolata016253",11,1,3,1,3,11,3,1,0,0,0,7,2,0,0,0,0,1,58
"Ofaveolata016254",12,0,0,0,2,16,2,0,0,0,0,2,1,0,1,0,2,2,29
"Ofaveolata016255",16,4,7,0,16,32,3,4,0,0,0,19,10,0,1,2,0,9,53
"Ofaveolata016257",9,0,7,0,4,20,0,0,0,0,0,3,0,1,0,0,0,0,19
"Ofaveolata016258",103,18,12,2,25,138,12,15,2,0,0,29,6,3,1,16,1,23,204
"Ofaveolata016260",18,2,3,0,4,24,7,1,1,0,0,4,0,0,0,0,1,2,44
"Ofaveolata016267",448,113,74,14,424,230,95,27,36,0,0,515,237,38,25,76,3,225,688
"Ofaveolata016269",27,39,4,5,30,20,8,3,0,0,0,52,31,8,0,3,0,6,53
"Ofaveolata016270",362,189,11,7,56,18,20,9,6,0,2,52,20,9,5,12,2,26,156
"Ofaveolata016273",106,92,17,18,106,127,68,23,26,8,13,93,47,26,6,25,6,37,185
"Ofaveolata016274",3,6,2,0,0,12,0,3,0,0,0,12,9,0,0,1,0,2,4
"Ofaveolata016281",11,1,5,0,23,26,1,5,6,0,0,35,8,0,2,5,0,5,50
"Ofaveolata016283",7,0,16,1,14,26,6,2,5,0,0,86,19,4,0,0,0,13,94
"Ofaveolata016295",4,1,3,0,2,3,2,0,1,0,1,14,1,1,0,0,0,1,13
"Ofaveolata016299",10,0,6,0,12,11,5,2,0,0,0,21,6,4,0,9,2,5,42
"Ofaveolata016302",94,63,11,21,246,32,19,6,12,1,2,24,19,2,11,19,0,17,46
"Ofaveolata016303",7,1,11,15,13,5,6,4,21,0,0,28,8,1,0,5,0,12,19
"Ofaveolata016305",14,0,15,0,56,24,18,9,4,0,3,60,35,0,0,0,1,27,67
"Ofaveolata016306",46,22,11,5,78,32,14,13,6,0,1,53,22,8,0,16,1,17,81
"Ofaveolata016315",8,0,2,0,1,2,0,1,1,0,0,12,3,1,0,1,0,3,19
"Ofaveolata016318",7,0,1,0,14,5,3,2,0,0,0,9,3,2,0,0,2,0,10
"Ofaveolata016319",12,0,0,0,11,2,0,4,0,0,1,18,4,0,0,5,0,3,26
"Ofaveolata016321",19,1,8,0,30,9,0,1,1,0,0,20,8,0,0,14,0,6,32
"Ofaveolata016322",1034,541,333,245,1998,718,658,261,321,48,113,662,443,288,162,504,16,352,665
"Ofaveolata016324",5,2,2,0,12,5,0,0,0,0,0,9,3,0,3,5,0,2,10
"Ofaveolata016326",46,24,1,15,32,59,29,6,0,0,1,44,30,22,13,6,3,11,178
"Ofaveolata016370",268,126,59,22,262,159,86,43,24,4,4,317,178,86,25,74,6,126,310
"Ofaveolata016371",145,61,43,10,153,92,46,36,27,3,0,205,88,8,17,40,0,51,252
"Ofaveolata016372",9,3,1,0,4,16,0,0,0,0,0,11,3,0,0,0,0,2,9
"Ofaveolata016377",77,4,6,0,160,33,9,12,31,0,0,74,42,1,29,12,0,35,51
"Ofaveolata016378",59,16,1,0,125,37,1,3,12,0,0,69,20,0,10,12,0,17,76
"Ofaveolata016379",56,35,24,20,50,80,39,23,13,6,9,58,38,20,30,31,8,24,98
"Ofaveolata016380",46,8,3,2,101,8,0,4,0,0,0,6,7,0,0,1,0,3,24
"Ofaveolata016381",67,24,9,5,92,11,5,3,2,0,8,45,22,6,0,5,2,15,82
"Ofaveolata016383",5,0,1,2,22,10,10,8,8,0,0,32,11,0,0,4,0,2,42
"Ofaveolata016384",26,20,24,12,74,28,31,16,18,0,2,116,40,14,6,25,3,23,160
"Ofaveolata016385",3,0,1,2,0,4,7,0,0,0,0,15,5,0,1,0,0,3,19
"Ofaveolata016387",0,0,0,0,30,0,0,12,0,0,0,0,0,0,0,0,0,0,36
"Ofaveolata016391",12,1,0,1,35,13,4,9,1,1,0,40,16,1,3,1,0,9,46
"Ofaveolata016396",1,0,0,0,43,9,1,5,0,0,0,9,8,0,0,2,0,3,27
"Ofaveolata016400",4,0,0,0,15,10,2,2,0,1,0,10,1,0,0,0,0,3,18
"Ofaveolata016403",46,3,23,0,65,38,20,18,13,0,0,113,61,19,1,30,3,26,136
"Ofaveolata016404",19,12,11,3,49,29,9,5,5,3,3,45,4,7,2,10,3,7,44
"Ofaveolata016408",15,8,9,0,21,13,7,4,8,0,1,20,9,0,6,9,0,2,31
"Ofaveolata016413",29,20,29,10,36,33,25,9,23,1,2,58,19,10,2,29,0,14,59
"Ofaveolata016415",49,8,13,2,80,72,29,8,6,4,4,96,34,22,2,22,0,27,184
"Ofaveolata016418",18,1,6,0,25,11,9,4,6,0,0,50,12,5,0,5,0,15,62
"Ofaveolata016420",58,8,19,28,30,21,13,11,3,0,0,110,38,6,8,31,0,22,81
"Ofaveolata016421",69,14,41,11,144,58,27,25,13,0,2,168,77,30,12,40,0,54,230
"Ofaveolata016422",76,13,9,14,173,36,9,8,9,1,4,27,25,7,4,10,5,12,50
"Ofaveolata016426",118,5,18,0,46,37,1,5,8,0,7,84,51,7,22,32,0,47,35
"Ofaveolata016428",362,48,0,1,134,29,1,0,0,0,11,17,6,0,918,142,0,10,35
"Ofaveolata016432",5,0,2,0,17,2,2,0,1,0,5,43,17,1,0,1,0,11,4
"Ofaveolata016433",19,4,14,1,77,8,2,6,5,0,11,84,39,11,16,34,0,28,7
"Ofaveolata016434",18,0,2,0,17,5,3,1,1,0,4,10,2,6,294,24,0,2,21
"Ofaveolata016436",8,7,10,0,19,4,8,0,7,0,0,16,5,2,0,0,0,15,0
"Ofaveolata016438",2,7,0,0,4,4,3,1,0,0,0,12,6,0,0,1,0,7,17
"Ofaveolata016450",1,0,7,0,41,5,3,0,0,0,0,29,3,0,0,12,0,1,2
"Ofaveolata016453",2,6,2,0,44,2,5,0,3,1,0,23,8,1,3,3,0,9,11
"Ofaveolata016454",43,22,20,8,125,31,25,12,7,0,6,105,40,8,0,5,0,42,77
"Ofaveolata016455",15,4,7,6,39,22,12,3,19,0,1,64,43,8,2,1,1,18,50
"Ofaveolata016456",21,4,9,0,26,9,17,5,0,6,0,26,22,1,1,4,2,5,59
"Ofaveolata016457",4,0,2,4,10,8,1,3,0,0,0,15,3,0,0,0,0,2,10
"Ofaveolata016459",1,2,0,0,11,8,1,0,2,0,0,10,0,0,5,12,0,5,15
"Ofaveolata016460",177,114,39,19,165,96,43,32,12,5,1,205,90,50,3,56,0,89,303
"Ofaveolata016461",17,5,2,0,21,19,0,5,0,0,0,17,13,1,0,13,2,7,51
"Ofaveolata016462",50,21,20,12,69,71,24,16,14,0,0,161,72,23,0,24,1,35,285
"Ofaveolata016478",60,18,24,8,155,53,22,16,23,0,1,149,78,33,25,16,3,43,160
"Ofaveolata016479",0,0,1,1,2,3,1,11,0,0,0,15,7,3,1,0,0,0,25
"Ofaveolata016485",0,0,0,0,11,0,0,4,0,0,0,2,0,0,0,0,0,0,12
"Ofaveolata016487",25,29,9,0,10,8,11,4,8,1,1,29,15,5,0,18,0,8,95
"Ofaveolata016488",13,7,111,9,42,88,46,8,29,8,19,384,96,65,10,98,12,153,24
"Ofaveolata016489",16,0,35,22,28,48,12,7,19,7,5,193,60,50,18,49,2,87,26
"Ofaveolata016490",7,0,0,0,16,2,0,0,5,0,0,17,4,0,0,0,0,6,15
"Ofaveolata016491",36,9,16,0,55,42,0,12,0,0,1,197,54,8,2,18,0,35,84
"Ofaveolata016494",1,0,8,6,5,2,5,13,0,3,1,2,6,1,0,8,1,4,13
"Ofaveolata016495",4,6,2,0,285,17,25,108,6,0,0,71,36,9,6,29,2,53,110
"Ofaveolata016496",26,17,25,15,420,114,206,102,95,1,5,587,141,37,75,285,3,430,95
"Ofaveolata016500",26,5,7,13,385,29,49,208,42,2,4,108,58,18,25,62,1,76,182
"Ofaveolata016501",8,5,0,3,125,24,17,40,68,0,2,171,83,21,43,89,1,95,34
"Ofaveolata016510",11,3,1,0,11,1,2,2,0,0,0,5,7,0,0,8,0,2,10
"Ofaveolata016511",3,3,10,0,5,3,3,7,9,0,0,20,11,1,1,0,0,4,49
"Ofaveolata016513",202,322,1,4,7,154,10,2,0,1,0,11,6,3,1,2,0,6,7
"Ofaveolata016514",113,114,0,0,0,60,2,0,0,0,0,0,0,0,0,0,0,0,29
"Ofaveolata016518",21,9,2,6,13,30,1,6,1,1,0,69,20,5,0,8,4,17,86
"Ofaveolata016519",150,78,19,15,97,58,36,8,8,0,4,44,36,18,2,25,1,24,124
"Ofaveolata016520",37,8,12,2,47,36,17,8,7,0,3,59,31,11,1,13,8,21,102
"Ofaveolata016521",287,65,74,27,588,172,108,69,47,8,16,560,238,66,7,57,3,219,530
"Ofaveolata016529",0,0,0,0,0,13,0,0,0,0,0,2,1,0,0,0,0,0,18
"Ofaveolata016532",11,0,2,1,14,10,3,1,1,0,0,18,11,7,0,1,0,7,32
"Ofaveolata016533",1,4,0,0,9,2,3,0,0,0,0,15,7,0,0,0,0,3,18
"Ofaveolata016534",46,40,27,9,171,93,32,15,6,6,7,127,41,7,10,43,3,32,168
"Ofaveolata016536",14,0,4,1,13,15,5,0,0,0,5,22,16,0,0,0,2,0,38
"Ofaveolata016539",3,0,0,0,13,4,5,2,0,0,0,12,4,0,0,0,0,3,26
"Ofaveolata016540",65,16,5,1,62,49,14,5,4,2,0,61,27,5,2,4,2,19,120
"Ofaveolata016541",27,8,18,1,25,20,16,10,12,0,0,45,27,7,4,13,2,18,56
"Ofaveolata016542",8,17,6,0,13,8,4,3,0,0,0,18,17,1,2,3,1,4,35
"Ofaveolata016544",13,15,6,5,43,22,2,1,0,0,5,42,14,6,0,3,1,22,63
"Ofaveolata016554",17,0,6,7,12,14,5,13,4,1,5,32,25,11,0,9,0,10,61
"Ofaveolata016568",2,0,0,0,11,1,3,0,0,0,0,7,2,0,0,0,1,2,17
"Ofaveolata016578",12,0,3,0,31,22,5,1,0,0,0,35,19,0,0,1,0,12,53
"Ofaveolata016579",27,17,0,1,26,23,1,0,0,0,0,1,0,0,2,0,0,0,33
"Ofaveolata016580",30,3,1,9,31,23,0,3,6,0,0,42,20,2,0,6,0,12,30
"Ofaveolata016582",7,3,11,1,22,19,22,10,13,0,5,39,38,6,0,12,2,11,70
"Ofaveolata016584",34,4,34,6,89,23,23,16,13,3,3,136,98,14,3,32,4,28,129
"Ofaveolata016585",12,0,0,0,24,7,5,1,0,7,0,23,16,6,1,9,0,5,15
"Ofaveolata016586",74,26,19,11,105,100,25,28,14,0,8,145,77,7,11,10,0,59,82
"Ofaveolata016588",132,72,8,14,17,244,43,9,1,10,0,33,24,12,1,6,4,30,426
"Ofaveolata016589",62,15,16,1,22,117,10,10,1,0,0,37,20,2,0,3,0,16,166
"Ofaveolata016590",59,34,11,6,19,114,9,13,7,0,0,40,19,2,0,2,0,9,401
"Ofaveolata016591",17,15,0,0,2,20,3,2,0,0,0,8,5,0,0,0,0,4,62
"Ofaveolata016592",50,5,12,1,13,60,2,1,1,1,0,15,3,10,0,2,0,19,184
"Ofaveolata016596",180,66,3,12,26,319,17,12,8,18,0,29,9,7,6,4,1,16,720
"Ofaveolata016598",1,0,26,1,26,27,11,9,7,0,0,57,30,6,3,3,0,13,68
"Ofaveolata016635",22,13,4,1,7,11,3,0,0,0,0,10,8,0,0,0,3,11,62
"Ofaveolata016638",12,6,30,11,91,60,46,33,30,2,5,134,111,28,0,54,3,52,135
"Ofaveolata016643",19,1,3,0,4,10,0,0,0,0,0,12,3,0,0,0,0,6,207
"Ofaveolata016651",5,11,12,10,23,32,11,14,5,0,0,37,21,5,0,12,2,11,70
"Ofaveolata016653",8,0,1,0,6,1,8,5,0,0,0,14,5,0,0,0,0,2,17
"Ofaveolata016654",27,7,4,1,11,11,5,0,1,0,0,5,3,3,2,7,0,6,17
"Ofaveolata016655",17,30,2,2,6,12,3,2,1,0,3,13,8,7,0,1,0,1,27
"Ofaveolata016659",12,2,6,2,19,9,4,3,0,0,0,16,14,0,0,0,1,2,20
"Ofaveolata016660",7,0,3,0,37,5,2,6,2,0,0,14,9,0,3,4,0,2,27
"Ofaveolata016662",70,20,58,21,106,96,43,27,26,5,3,203,85,21,1,48,0,67,227
"Ofaveolata016664",366,225,62,101,599,262,128,75,101,12,36,273,152,70,75,165,15,118,297
"Ofaveolata016667",45,24,15,3,39,18,12,7,0,0,0,47,15,7,8,2,4,17,57
"Ofaveolata016668",303,211,85,57,283,463,164,69,92,28,45,262,135,116,114,174,20,120,658
"Ofaveolata016669",46,150,12,1,26,32,18,11,2,7,5,31,16,5,14,12,0,14,31
"Ofaveolata016670",18,11,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,2
"Ofaveolata016671",261,23,0,17,24,24,1,0,0,0,0,14,7,2,6,0,0,5,237
"Ofaveolata016672",49,52,111,17,164,234,121,85,47,8,16,234,143,91,14,100,7,180,338
"Ofaveolata016674",9,9,17,0,49,56,17,1,0,0,0,38,24,2,15,1,2,20,101
"Ofaveolata016688",8,0,5,29,19,17,7,68,16,7,7,35,34,0,19,43,3,60,17
"Ofaveolata016703",5,0,1,1,8,5,3,12,6,0,0,33,12,0,0,7,0,1,28
"Ofaveolata016704",58,9,22,7,117,40,18,32,6,0,1,161,78,16,11,41,0,41,200
"Ofaveolata016707",8,6,0,0,27,10,0,3,2,5,0,16,16,0,2,2,0,8,30
