"","Of.098","Of.104","Of.112","Of.114","Of.126","Of.130","Of.142","Of.150","Of.152","Of.154","Of.158","Of.162","Of.170","Of.180","Of.200","Of.202","Of.216","Of.224","Of.266"
"Ofaveolata000317",7,6,0,0,3,3,14,0,0,0,0,3,5,0,0,0,0,0,21
"Ofaveolata000324",11,9,0,0,2,13,0,0,0,0,0,8,1,2,0,0,0,0,10
"Ofaveolata000326",71,21,23,7,215,37,7,9,6,7,8,69,39,11,3,11,6,31,99
"Ofaveolata000330",44,16,6,0,43,52,10,10,1,0,0,48,16,0,0,9,1,15,110
"Ofaveolata000336",32,4,6,0,20,22,3,1,0,0,0,27,4,1,0,19,0,18,40
"Ofaveolata000337",30,11,9,1,119,65,12,14,6,0,0,135,71,17,1,13,1,56,328
"Ofaveolata000338",13,4,0,1,29,12,1,1,0,0,0,17,18,0,0,9,0,3,36
"Ofaveolata000339",25,7,43,6,30,40,36,2,12,0,2,41,14,21,2,48,5,36,51
"Ofaveolata000340",29,9,0,0,48,5,6,0,0,0,6,15,1,2,4,0,0,1,13
"Ofaveolata000341",17,2,2,0,21,4,9,10,4,0,0,21,12,1,1,6,0,10,40
"Ofaveolata000346",11,12,3,1,19,15,4,2,0,0,0,28,8,0,0,3,1,7,44
"Ofaveolata000347",4152,2186,1571,872,3049,3534,2042,1208,732,275,340,3970,2906,1714,505,2332,248,2175,6819
"Ofaveolata000348",76,8,19,12,168,31,33,12,14,0,2,142,55,19,18,12,0,16,186
"Ofaveolata000353",0,0,0,0,0,7,0,0,0,0,1,5,1,0,0,11,0,0,10
"Ofaveolata000355",0,0,1,0,5,3,0,4,0,0,0,11,5,0,0,11,0,0,0
"Ofaveolata000356",5,153,36,0,0,65,17,12,3,10,0,118,91,27,1,29,0,20,91
"Ofaveolata000360",2,0,4,0,9,6,1,2,1,0,0,12,3,0,0,1,0,1,24
"Ofaveolata000362",10,11,18,5,146,33,0,6,9,0,3,60,34,7,45,22,1,15,20
"Ofaveolata000363",151,16,0,0,858,4,2,0,0,0,21,5,0,0,112,1,0,0,4
"Ofaveolata000368",12,9,2,2,13,10,8,3,3,0,5,13,6,0,0,0,3,3,15
"Ofaveolata000370",22,5,1,0,11,20,4,6,0,0,0,26,10,1,0,0,0,19,34
"Ofaveolata000371",39,25,26,2,42,47,32,36,15,0,0,101,68,21,1,50,0,46,124
"Ofaveolata000378",7,0,1,0,6,8,0,19,0,0,0,11,5,6,0,7,0,8,19
"Ofaveolata000379",93,32,26,2,82,85,33,21,5,0,0,111,32,9,13,15,1,27,258
"Ofaveolata000381",12,10,3,6,31,15,12,10,1,0,0,44,30,17,0,27,1,11,81
"Ofaveolata000382",16,15,26,14,37,54,55,16,22,8,12,85,70,9,9,42,6,29,171
"Ofaveolata000384",3,1,8,0,5,22,23,8,1,0,1,93,67,12,0,32,3,44,56
"Ofaveolata000392",6,6,0,0,6,7,3,6,0,9,0,10,9,4,0,11,0,5,27
"Ofaveolata000394",195,60,69,15,414,139,75,51,34,0,1,282,112,20,14,59,1,87,238
"Ofaveolata000407",20,0,5,1,12,22,13,7,8,0,0,37,25,11,1,13,1,13,42
"Ofaveolata000408",14,0,14,6,31,17,16,14,1,0,0,74,25,8,0,3,0,28,54
"Ofaveolata000409",0,0,1,0,4,1,0,0,0,0,0,12,6,2,0,0,0,0,27
"Ofaveolata000411",0,0,4,0,8,1,2,0,9,0,0,26,19,0,0,0,0,11,13
"Ofaveolata000415",104,20,46,14,111,61,53,37,16,1,12,123,53,42,8,49,4,59,129
"Ofaveolata000419",34,8,13,3,53,24,22,8,0,0,3,44,40,18,5,5,4,17,96
"Ofaveolata000420",9,0,5,0,28,4,4,6,0,1,0,23,13,2,0,13,0,4,13
"Ofaveolata000421",3,0,6,0,10,2,3,1,2,0,0,22,7,1,0,0,0,6,12
"Ofaveolata000430",5,0,4,0,6,2,5,0,1,0,0,14,4,0,0,2,0,2,15
"Ofaveolata000434",6,5,1,2,10,7,1,0,0,0,0,16,3,3,1,3,0,4,24
"Ofaveolata000435",12,3,4,1,9,8,7,5,3,0,0,20,15,4,2,10,0,4,27
"Ofaveolata000437",11,15,3,3,23,5,8,0,0,0,0,24,5,0,0,6,0,15,27
"Ofaveolata000438",24,18,4,0,20,17,5,3,10,0,0,28,8,3,5,6,2,10,31
"Ofaveolata000439",131,30,53,16,217,88,76,39,26,1,1,225,128,20,0,53,0,59,285
"Ofaveolata000441",33,21,12,0,42,16,20,4,7,0,5,27,18,3,0,11,0,13,47
"Ofaveolata000449",95,46,25,7,53,155,12,25,7,3,0,66,32,5,3,18,0,38,380
"Ofaveolata000453",44,50,33,36,56,42,48,23,14,3,0,120,55,32,15,34,11,50,86
"Ofaveolata000457",9,4,3,2,12,9,1,3,1,9,0,10,3,0,0,0,1,2,31
"Ofaveolata000468",37,11,39,3,104,59,21,16,10,0,11,77,30,14,6,21,1,46,135
"Ofaveolata000472",22,1,3,1,33,9,2,4,0,0,6,33,16,0,3,5,0,8,33
"Ofaveolata000473",79,1,2,1,724,4,0,0,5,0,77,5,5,8,852,0,0,1,12
"Ofaveolata000475",8,10,2,0,4,8,5,0,0,0,1,15,6,1,2,2,0,6,15
"Ofaveolata000487",14,0,5,0,40,25,6,0,6,0,0,49,12,10,3,6,1,14,55
"Ofaveolata000514",0,0,6,0,0,7,8,0,4,0,0,21,29,4,0,5,0,9,1
"Ofaveolata000515",3,0,0,0,7,3,0,2,1,0,0,12,9,3,0,2,0,5,21
"Ofaveolata000519",3,0,3,0,3,2,1,4,2,0,0,7,11,5,0,9,0,2,15
"Ofaveolata000520",19,7,21,12,30,22,10,15,0,6,0,38,17,15,7,34,0,25,80
"Ofaveolata000526",1,0,0,0,18,0,0,0,0,0,0,6,3,0,0,0,0,5,23
"Ofaveolata000527",4,4,1,0,9,7,5,7,3,0,0,39,15,3,1,5,0,6,21
"Ofaveolata000530",444,238,167,81,511,520,262,135,95,11,34,505,351,113,76,185,9,261,752
"Ofaveolata000531",5,0,2,0,5,6,4,4,4,0,0,31,15,4,0,8,0,11,14
"Ofaveolata000536",7,17,4,0,18,6,13,1,0,5,0,29,8,0,0,2,0,7,17
"Ofaveolata000539",6,0,1,0,13,7,6,0,0,0,0,7,4,4,0,3,0,2,35
"Ofaveolata000543",24,0,6,13,52,39,12,7,2,8,0,57,37,1,27,20,4,16,70
"Ofaveolata000545",7,0,11,5,8,21,7,4,8,1,0,30,44,11,2,9,1,19,25
"Ofaveolata000547",29,3,24,19,52,16,18,26,19,0,4,87,26,19,4,26,0,15,98
"Ofaveolata000548",2,0,0,0,4,2,0,2,0,0,0,10,14,2,1,0,0,5,12
"Ofaveolata000549",9,0,47,14,11,44,42,11,10,0,3,198,192,54,4,68,3,81,114
"Ofaveolata000550",8,2,33,4,48,32,49,25,13,14,0,158,164,37,0,50,15,91,214
"Ofaveolata000551",9,9,8,2,28,34,13,9,4,1,0,57,28,11,1,7,1,5,88
"Ofaveolata000552",36,11,69,43,122,112,55,19,27,3,16,291,222,37,1,38,8,103,143
"Ofaveolata000557",26,9,25,16,55,34,26,12,13,4,2,182,90,13,7,19,0,46,149
"Ofaveolata000562",115,29,28,15,233,50,36,10,36,17,5,56,52,21,8,24,2,36,104
"Ofaveolata000563",16,1,5,6,23,24,9,4,6,0,5,22,15,9,0,2,1,6,27
"Ofaveolata000571",215,187,8,10,41,407,37,5,11,7,1,36,18,13,9,33,0,89,199
"Ofaveolata000575",5,13,2,0,8,31,8,7,0,2,1,24,14,2,0,1,0,9,28
"Ofaveolata000576",80,43,22,0,262,41,15,2,16,0,0,63,14,4,8,16,0,24,111
"Ofaveolata000577",41,7,2,0,17,7,7,2,0,0,0,28,8,0,0,1,0,4,30
"Ofaveolata000578",16,11,0,0,8,13,4,3,0,0,0,15,11,0,0,0,0,3,19
"Ofaveolata000579",12,4,16,24,28,19,7,11,1,0,0,32,12,19,1,42,0,16,51
"Ofaveolata000580",1,0,0,0,11,0,0,0,0,0,0,4,11,0,0,0,0,2,8
"Ofaveolata000586",36,18,15,1,42,45,17,10,3,0,1,54,17,2,4,21,1,15,45
"Ofaveolata000588",45,4,16,28,65,64,25,38,1,14,6,96,44,20,12,40,2,11,158
"Ofaveolata000590",1,0,0,1,12,4,0,3,0,0,0,39,6,0,0,0,0,39,17
"Ofaveolata000593",22,0,12,0,35,23,16,1,6,0,0,47,32,7,0,3,0,13,71
"Ofaveolata000594",10,0,1,0,9,8,0,12,0,0,0,11,6,5,0,0,0,3,28
"Ofaveolata000595",6,0,0,1,4,3,2,3,0,0,0,10,3,0,0,9,1,5,27
